network,station,start_time,end_time
II,MSVF,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,A01,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,A02W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,A03,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,A04W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,A05,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,A06W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,A07,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,A08W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,A09,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,A10W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,A11,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,A12W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,A13,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,A14W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,B01W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,B02,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,B03,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,B04W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,B05W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,B06,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,B07W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,B08,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,B09W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,B10,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,B11W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,B12,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,B13,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,B14W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,C01W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,C02,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,C03W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,C04,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,C05W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,C06,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,C07W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,C08W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,C09W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,C10W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,C11W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,C12,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,C13,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,C15,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,C16W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,C17W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,F02W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,N01W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,N02W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,N03W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,S01W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
YL,S02W,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,CICA,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,DEBA,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,EUAP,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,FOA,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,FONI,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,KDVU,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,LBSA,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,LKBA,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,MOAL,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,NADI,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,NMKA,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,PNGI,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,SUVA,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,TNGA,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,TVNI,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,VABL,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
Z1,VAVP,2009-11-01T00:00:00.000000Z,2009-12-01T00:00:00.000000Z
